signal,signal_len,dataset,interval,count,anomaly_len
P-1,11377.0,SMAP,21600.0,3.0,"[200.0000462962963, 308.0000462962963, 240.0000462962963]"
S-1,10149.0,SMAP,21600.0,1.0,[447.0000462962963]
E-1,11396.0,SMAP,21600.0,2.0,"[30.000046296296297, 476.0000462962963]"
E-2,11412.0,SMAP,21600.0,1.0,[1397.0000462962962]
E-3,11187.0,SMAP,21600.0,1.0,[3280.000046296296]
E-4,11234.0,SMAP,21600.0,1.0,[2811.000046296296]
E-5,11174.0,SMAP,21600.0,1.0,[320.0000462962963]
E-6,11180.0,SMAP,21600.0,1.0,[65.00004629629629]
E-7,11079.0,SMAP,21600.0,1.0,[280.0000462962963]
E-8,11412.0,SMAP,21600.0,1.0,[622.0000462962963]
E-9,11182.0,SMAP,21600.0,1.0,[350.0000462962963]
E-10,11385.0,SMAP,21600.0,2.0,"[50.0000462962963, 270.0000462962963]"
E-11,11394.0,SMAP,21600.0,2.0,"[50.0000462962963, 243.0000462962963]"
E-12,11392.0,SMAP,21600.0,2.0,"[531.0000462962963, 50.0000462962963]"
E-13,11520.0,SMAP,21600.0,3.0,"[101.00004629629629, 40.0000462962963, 120.00004629629629]"
A-1,11520.0,SMAP,21600.0,1.0,[84.00004629629629]
D-1,11358.0,SMAP,21600.0,1.0,[3345.000046296296]
P-3,11348.0,SMAP,21600.0,1.0,[1335.0000462962962]
D-2,11475.0,SMAP,21600.0,1.0,[4217.000046296296]
D-3,11520.0,SMAP,21600.0,1.0,[3275.000046296296]
D-4,11306.0,SMAP,21600.0,1.0,[3275.000046296296]
A-2,10562.0,SMAP,21600.0,1.0,[110.00004629629629]
A-3,10941.0,SMAP,21600.0,1.0,[185.0000462962963]
A-4,10770.0,SMAP,21600.0,1.0,[110.00004629629629]
G-1,11289.0,SMAP,21600.0,1.0,[120.00004629629629]
G-2,9839.0,SMAP,21600.0,1.0,[40.0000462962963]
D-5,10189.0,SMAP,21600.0,1.0,[50.0000462962963]
D-6,10478.0,SMAP,21600.0,1.0,[80.00004629629629]
D-7,10225.0,SMAP,21600.0,1.0,[2710.000046296296]
F-1,11453.0,SMAP,21600.0,1.0,[100.00004629629629]
P-4,10392.0,SMAP,21600.0,3.0,"[130.0000462962963, 200.0000462962963, 110.00004629629629]"
G-3,10531.0,SMAP,21600.0,1.0,[50.0000462962963]
T-1,11487.0,SMAP,21600.0,2.0,"[1499.0000462962962, 35.0000462962963]"
T-2,11480.0,SMAP,21600.0,1.0,[1797.0000462962962]
D-8,10476.0,SMAP,21600.0,1.0,[50.0000462962963]
D-9,9989.0,SMAP,21600.0,1.0,[1405.0000462962962]
F-2,11487.0,SMAP,21600.0,1.0,[3206.000046296296]
G-4,10183.0,SMAP,21600.0,1.0,[30.000046296296297]
T-3,11455.0,SMAP,21600.0,2.0,"[82.00004629629629, 100.00004629629629]"
D-11,10042.0,SMAP,21600.0,1.0,[60.0000462962963]
D-12,8230.0,SMAP,21600.0,1.0,[2989.000046296296]
B-1,10479.0,SMAP,21600.0,1.0,[70.00004629629629]
G-6,11521.0,SMAP,21600.0,1.0,[100.00004629629629]
G-7,10475.0,SMAP,21600.0,3.0,"[100.00004629629629, 50.0000462962963, 115.00004629629629]"
P-7,10924.0,SMAP,21600.0,1.0,[1650.0000462962962]
R-1,10118.0,SMAP,21600.0,1.0,[80.00004629629629]
A-5,5398.0,SMAP,21600.0,1.0,[50.0000462962963]
A-6,5135.0,SMAP,21600.0,1.0,[40.0000462962963]
A-7,11510.0,SMAP,21600.0,1.0,[2400.000046296296]
D-13,9153.0,SMAP,21600.0,1.0,[160.0000462962963]
A-8,9137.0,SMAP,21600.0,1.0,[4055.000046296296]
A-9,9196.0,SMAP,21600.0,1.0,[4114.000046296296]
F-3,11256.0,SMAP,21600.0,1.0,[40.0000462962963]
M-6,3614.0,MSL,21600.0,1.0,[180.0000462962963]
M-1,4486.0,MSL,21600.0,1.0,[1140.0000462962962]
M-2,4485.0,MSL,21600.0,1.0,[1140.0000462962962]
S-2,2753.0,MSL,21600.0,1.0,[10.000046296296297]
P-10,10408.0,MSL,21600.0,1.0,[130.0000462962963]
T-4,4489.0,MSL,21600.0,1.0,[68.00004629629629]
T-5,4490.0,MSL,21600.0,1.0,[25.000046296296297]
F-7,7565.0,MSL,21600.0,3.0,"[200.0000462962963, 120.00004629629629, 100.00004629629629]"
